Timestamp,Link,Name,OS,Mountain,Was WR,challenge name,type,score,chaltype
2021-01-21 15:42:26,https://drive.google.com/open?id=1yafxpCfQkno2Mehm2-EmiXzQ18O5aDT7,Mountain_Greg,Android,Rotkamm,False,The Village Run,Time trial,27.94,Race
2021-01-21 15:53:13,https://drive.google.com/open?id=1F8r137kPf1XmNXFJknnCw_WTD6QtSWx4,Gjeep302,Android,Rotkamm,False,The Ice Bowl,Time trial,28.22,Race
2021-01-21 16:13:32,https://drive.google.com/open?id=1A9h95MV7CjNc4Q0K6le4DgXUU-ZW4XyD,Gjeep302,Android,Rotkamm,False,The Rollercoaster,Time trial,31.15,Trail
2021-01-21 16:25:45,https://drive.google.com/open?id=1Sw01CsZ54JHyrQgXrlSaAreoq2Wdbe-x,Gjeep302,Android,Rotkamm,False,Skipping Icebergs,Time trial,28.11,Trail
2021-01-21 16:36:16,https://drive.google.com/open?id=1VGWWEPZVBBn0eMm_kZBuy0uM0hq3V5tU,Gjeep302,Android,Rotkamm,False,Gross Air,Time trial,9.43,Trail
2021-01-21 17:05:56,https://drive.google.com/open?id=1g3jCgljRMP6gbx2lU6rNWWYIQpnKkPFk,Gjeep302,Android,Rotkamm,False,Slippery Slope,Time trial,22.56,Trail
2021-01-21 17:25:10,https://drive.google.com/open?id=1JQ88C-4y8zRcVxuXyii1UOhEcg3pW5E7,Gjeep302,Android,Rotkamm,False,Precision Drops,Time trial,16.74,Trail
2021-01-21 17:46:32,https://drive.google.com/open?id=1m4XOugVC1bvF_rNiKXwrpUY-xMRwBozP,Gjeep302,Android,Rotkamm,False,Dropping In,Time trial,21.45,Trail
2021-01-21 20:06:53,https://drive.google.com/open?id=1epkZh-Zf6gGorFIrZbgNwa-nMOG6hFTc,Gjeep302,Android,Rotkamm,False,The Ice Slope,Time trial,22.77,TTB
2021-01-22 07:24:19,https://drive.google.com/open?id=1DU8TZ6U6_KU3KhFuK36mAwv8ujbHaT-i,Gjeep302,Android,Rotkamm,False,Staying Between The Stones,Time trial,25.69,Trail
2021-01-22 07:25:44,https://drive.google.com/open?id=1uEg3CEd1pi1BAgTmSYu1ZGfIFgMxT5nM,Gjeep302,Android,Rotkamm,False,The Ice Slope,Time trial,22.77,TTB
2021-01-22 07:54:11,https://drive.google.com/open?id=1Wko61aTPkBLnCmskdH-kAS68EzbT8Smj,Gjeep302,Android,Rotkamm,False,The Village Run,Time trial,27.86,Race
2021-01-22 16:00:11,https://drive.google.com/open?id=12ndFZYCJUqep_HD5JId1sqVTwEI0SkNr,SYNO,iOS,Rotkamm,False,The Village Run,Time trial,27.94,Race
2021-01-22 16:01:18,https://drive.google.com/open?id=1ZkP-LNC-iHuQ4nIREkINHXEFQpPUiqZT,SYNO,iOS,Rotkamm,False,Sketchy Bears,Time trial,23.4,Trail
2021-01-22 16:11:47,https://drive.google.com/open?id=1jl6al9UvtludgothE93L2nahBN54vXRt,SYNO,iOS,Rotkamm,True,Sending It,High score,26786.0,Open Trick
2021-01-22 18:33:46,https://drive.google.com/open?id=18xc5X2skSUYKS78XQhxmfwbtTh_z2ON4,massiv97,Android,Rotkamm,False,Sketchy Bears,Time trial,23.52,Trail
2021-01-26 14:05:10,https://drive.google.com/open?id=1aRSnXiSqh_PyOO3ORt72YCO5qWLqlYAS,Mountain_Greg,Android,Rotkamm,True,Progressive Speed,Time trial,37.96,TTB
2021-01-26 14:26:41,https://drive.google.com/open?id=13WnuTB2_sSjOzA1Rz8oUPG4xQfL2m0ig,hschindele,iOS,Rotkamm,True,Progressive Speed,Time trial,37.64,TTB
2021-01-27 13:39:41,https://drive.google.com/open?id=1BkceRv7s5Vm4U4THn0eBoda6NoBcaTqL,massiv97,Android,Rotkamm,False,Progressive Speed,Time trial,38.95,TTB
2021-01-27 15:50:56,https://drive.google.com/open?id=1x8t3cVS0Md-cvwaGlzv7s-VnCsjONqvY,SYNO,iOS,Rotkamm,False,Progressive Speed,Time trial,38.59,TTB
2021-01-28 09:08:39,https://drive.google.com/open?id=1qUTjXabb7iUXJ3OojwHpq6KhuOzoQpuD,hschindele,iOS,Rotkamm,True,The Broken Trail,Time trial,39.76,Race
2021-01-31 07:36:20,https://drive.google.com/open?id=1j0IMsAbSX5ASmUje1NN9Yi-UXEj_txr7,Mountain_Greg,Android,Rotkamm,True,Staying Between The Stones,Time trial,25.15,Trail
2021-02-02 18:34:09,https://drive.google.com/open?id=1iDIAm6bCIsxrJWQQl6zskPlapf01fkV0,Jamiemac,Android,Rotkamm,False,Pilgrim Run,High score,343.1,Distance
2021-02-04 19:37:49,https://drive.google.com/open?id=1ApTVcSfHPCmB2vCgpupSLxL9FUtxPDk1,BouncyJello,Android,Rotkamm,True,Rotkamm Jumper,High score,24975.0,Gated Trick
2021-02-04 19:44:38,https://drive.google.com/open?id=1Iqla7hIuurhSm8rIiwzegg6yYO1JPRBx,SYNO,iOS,Rotkamm,True,Rotkamm Jumper,High score,30652.0,Gated Trick
2021-02-05 03:51:31,https://drive.google.com/open?id=1nVF6uLnj7lanWQ1xlMF8d7_EqNFDxysl,Mountain_Greg,Android,Rotkamm,True,Sketchy Bears,Time trial,23.27,Trail
2021-02-05 14:26:18,https://drive.google.com/open?id=1baNpBuG0UrYsN3Rv3y4GUrUTOfWCwE04,BouncyJello,Android,Rotkamm,False,Rotkamm Style I,High score,30008.0,Gated Trick
2021-02-05 16:44:43,https://drive.google.com/open?id=1cUSMwSf3gIVs4gBzQZ5Uh45zTNHNYvwT,BouncyJello,Android,Rotkamm,False,Sending It,High score,23600.0,Open Trick
2021-02-06 07:42:13,https://drive.google.com/open?id=15doMQVHXzGSIwmM45_vz17LdHMnAz5eu,Jamiemac,Android,Rotkamm,False,The Village Run,Time trial,27.68,Race
2021-02-06 14:45:22,https://drive.google.com/open?id=19QDaavmL8DtBtohsh_cK1le3O33zM4F4,Jamiemac,Android,Rotkamm,False,The Broken Trail,Time trial,40.04,Race
2021-02-07 20:11:35,https://drive.google.com/open?id=1-36DhLGYFJ_iL79Zdm_rdCnHqjVkFC1s,BouncyJello,Android,Rotkamm,False,Freeride Heaven,High score,27827.0,Open Trick
2021-02-07 22:25:06,https://drive.google.com/open?id=1IE1txv8jcn8tasLVzWRLAqjCott-D5Er,Gjeep302,Android,Rotkamm,False,The Descender,High score,107.7,Triple Drop
2021-02-08 03:45:37,https://drive.google.com/open?id=1yoPzEUriIajKiEH2KQhABZGwWfiRR-_A,Jamiemac,Android,Rotkamm,True,The Broken Trail,Time trial,39.63,Race
2021-02-08 04:12:26,https://drive.google.com/open?id=19P1oX7V8tdDi7H9hRJozEwUNhi50c5uA,Jamiemac,Android,Rotkamm,False,The Green Glades,Time trial,16.71,Race
2021-02-08 08:08:20,https://drive.google.com/open?id=1bRcOS8cy1Ei1nF2XcYiG7gy71YOuGbwb,hschindele,iOS,Rotkamm,True,The Broken Trail,Time trial,39.37,Race
2021-02-08 12:30:33,https://drive.google.com/open?id=193WBzjxejV8Dh7E5yxLZT9_NkqpgNDMC,Jamiemac,Android,Rotkamm,False,The River Jumps,Time trial,41.49,Race
