Name,Timestamp,type,OS,challenge name,Mountain,score,Points
PelagusPlays,2021-03-11 19:57:57,Time trial,iOS,Sightseeing Tour,Hirschalm,24.35,7845
Pinsek,2021-03-09 6:52:52,Time trial,Android,Sightseeing Tour,Hirschalm,23.71,12899
Ryan Monty,2021-04-27 23:22:43,Time trial,Android,Sightseeing Tour,Hirschalm,22.84,21600
SYNO,2021-03-04 14:40:53,Time trial,iOS,Sightseeing Tour,Hirschalm,23.13,18700
Shadow,2020-11-23 18:30:33,Time trial,iOS,Sightseeing Tour,Hirschalm,23.72,12800
Skier50,2021-03-31 6:16:34,Time trial,iOS,Sightseeing Tour,Hirschalm,23.71,12899
eFrostyy,2021-02-12 16:04:55,Time trial,Android,Sightseeing Tour,Hirschalm,24.02,9862
hschindele,2021-04-02 9:51:22,Time trial,iOS,Sightseeing Tour,Hirschalm,21.87,31299
massiv97,2021-03-28 16:27:51,Time trial,Android,Sightseeing Tour,Hirschalm,22.54,24600
hschindele,2021-06-21 9:32:53,Time trial,iOS,The Descent,Hirschalm,28.05,19499
Mountain_Greg,2021-06-22 5:03:48,Time trial,Android,The Descent,Hirschalm,28.71,12899
Jamiemac,2021-06-30 3:34:26,Time trial,Android,The Descent,Hirschalm,28.68,13200
Skier50,2021-06-30 18:51:45,Time trial,iOS,The Descent,Hirschalm,28.86,11400
massiv97,2021-07-03 5:32:44,Time trial,Android,The Descent,Hirschalm,28.97,10300
Susannah,9/27/2021 19:37:26,Time trial,Android,The Descent,Hirschalm,30.43,6092
Jamiemac,2021-07-09 12:43:44,Time trial,Android,Hirschpeak Voyage,Hirschalm,35.89,8975
Mountain_Greg,2021-07-06 14:34:54,Time trial,Android,Hirschpeak Voyage,Hirschalm,33.38,31199
Skier50,2021-07-05 21:09:43,Time trial,iOS,Hirschpeak Voyage,Hirschalm,35.25,12500
hschindele,2021-07-09 12:39:21,Time trial,iOS,Hirschpeak Voyage,Hirschalm,33.3,32000
massiv97,2021-07-10 5:31:21,Time trial,Android,Hirschpeak Voyage,Hirschalm,35.11,13900
Jamiemac,2021-07-08 15:14:16,Time trial,Android,Hirschalm show off,Hirschalm,32.8,32000
Mountain_Greg,2021-06-30 6:31:19,Time trial,Android,Hirschalm show off,Hirschalm,32.0,40000
Skier50,2021-07-05 21:10:28,Time trial,iOS,Hirschalm show off,Hirschalm,31.56,44400
hschindele,2021-07-08 14:40:00,Time trial,iOS,Hirschalm show off,Hirschalm,31.08,49200
massiv97,2021-07-09 15:07:33,Time trial,Android,Hirschalm show off,Hirschalm,34.01,19900
Avel,2021-02-24 11:59:53,Time trial,iOS,The Woodland Slalom,Waldtal,24.49,10100
Chesty,2020-12-15 23:46:10,Time trial,iOS,The Woodland Slalom,Waldtal,24.28,12199
Fenrir,2021-01-12 17:19:15,Time trial,Android,The Woodland Slalom,Waldtal,25.33,5625
Gjeep302,2021-01-03 15:36:24,Time trial,Android,The Woodland Slalom,Waldtal,24.22,12800
Jamiemac,2021-01-16 14:17:40,Time trial,Android,The Woodland Slalom,Waldtal,24.13,13700
Mountain_Greg,2021-01-05 14:47:52,Time trial,Android,The Woodland Slalom,Waldtal,24.37,11299
Pinsek,2021-03-07 15:36:24,Time trial,Android,The Woodland Slalom,Waldtal,24.43,10700
