Timestamp,Link,Name,OS,Mountain,Select TT Challenge.10,Enter time as (sec).(mil) EX: 62.69.10,Select HS Challenge.10,Enter score as just a number.10,Challenge Type.9,Was WR,Unnamed: 69,challenge name,type,score,chaltype
2021-10-18 14:45:41,https://drive.google.com/open?id=1uiyxk3lMNQi9vslkGdz1IIhia5XRYQKY,massiv97,Android,Mount Fairview,,,,,,FALSE,,The Woodland Jam,High score,40027.0,Open Trick
2021-10-18 14:46:15,https://drive.google.com/open?id=1G1IM1TwNPOIPdmo5Pugus6zraCD5M4hE,massiv97,Android,Mount Fairview,,,,,,TRUE,,Shoot Out,High score,63.3,Single Drop
2021-10-20 12:52:32,https://drive.google.com/open?id=1Cc0nchGgRruDW2D-d_GLJ0fLGiDBBDjT,PelagusPlays,iOS,Mount Fairview,,,,,,FALSE,,Shoot Out,High score,54.7,Single Drop
2021-10-20 19:26:11,https://drive.google.com/open?id=1yHlcVTj572KI-whaaMc0eDJwkvpkqiaM,PelagusPlays,iOS,Mount Fairview,,,,,,TRUE,,The Three Diamonds,High score,138.4,Triple Drop
2021-11-03 8:54:47,https://drive.google.com/open?id=1Zhg_LFz9qK0zHThEsNnTD1zNTSierMy9,NicoExMachina,Android,Mount Fairview,,,,,,TRUE,,Flutters,High score,6.37,Airtime
2021-11-03 11:42:31,https://drive.google.com/open?id=1G2j2Uho5EKlZNzyXWPW4Fc_Zx6WtkKjb,Jamiemac,Android,Mount Fairview,,,,,,TRUE,,Flutters,High score,6.66,Airtime
2021-11-06 8:36:29,https://drive.google.com/open?id=1dJy01FJwv9kZVwAvToX52jo55ZtHhXKD,Avel,iOS,Mount Fairview,,,,,,TRUE,,Flutters,High score,7.21,Airtime
2021-11-06 8:38:05,https://drive.google.com/open?id=1b7Eo6vFJw8R8o6UHlyIPdEcateLL6xxT,Avel,iOS,Mount Fairview,,,,,,TRUE,,The Silver Dragon,Time Trial,15.19,Trail
2021-11-07 3:14:19,https://drive.google.com/open?id=1Im-MKuL7-S3YoQ9LWH2brlr1Yq7UkhhP,Jamiemac,Android,Mount Fairview,,,,,,TRUE,,The Silver Dragon,Time Trial,15.11,Trail
2021-11-23 3:05:21,https://drive.google.com/open?id=1IR6h4SFq3BZU-C9SOqEgHsvPBMhsCf_d,Avel,iOS,Mount Fairview,,,,,,TRUE,,Grand Mountain Cup III,Time Trial,59.12,Race
2021-11-25 4:18:42,https://drive.google.com/open?id=1MHkRI2KGe2Xxel4eUo3hbURRnaJ8DkIj,Mountain_Greg,Android,Mount Fairview,,,,,,FALSE,,Freeride Scout,High score,32968.0,Open Trick
2021-11-25 4:19:08,https://drive.google.com/open?id=1OF-QuMeRErladSSIuYOsqIjv182xQtwq,Mountain_Greg,Android,Mount Fairview,,,,,,TRUE,,The Three Diamonds,High score,145.3,Triple Drop
2021-11-25 4:19:39,https://drive.google.com/open?id=1kHN5D16pQRJn4iYRZx6xkKrjKq4y1VGY,Mountain_Greg,Android,Mount Fairview,,,,,,TRUE,,Shoot Out,High score,63.9,Single Drop
2021-11-25 4:20:07,https://drive.google.com/open?id=1y4QcjAu7LTxnVJHbFxLBpvNjfnY0ZMti,Mountain_Greg,Android,Mount Fairview,,,,,,FALSE,,The Silver Dragon,Time Trial,15.33,Trail
2021-11-25 4:20:40,https://drive.google.com/open?id=10eCRV4u3nHWUAO2S3QOwOs20Xh2t4c4r,Mountain_Greg,Android,Mount Fairview,,,,,,FALSE,,The Woodland Jam,High score,49818.0,Open Trick
2021-11-25 9:20:19,https://drive.google.com/open?id=10HlUBrA-h96ifiwQSLO4dDo3Ou3zFTYn,hschindele,iOS,Mount Fairview,,,,,,TRUE,,Grand Mountain Cup III,Time Trial,58.9,Race
2021-12-22 12:27:45,https://drive.google.com/open?id=1jR3sns0eWjv7Rr5UvQyXY5I97Hj1luQL,Avel,iOS,Mount Fairview,,,,,,FALSE,,The Timber Road Gap,High score,45.2,Single Drop
2021-12-22 12:29:24,https://drive.google.com/open?id=1F_uiFQbKg2nkW95XUbtxiAzPbu-cRuTM,Avel,iOS,Mount Fairview,,,,,,FALSE,,The Three Diamonds,High score,139.1,Triple Drop
2021-12-22 12:30:07,https://drive.google.com/open?id=1qdFr8w2gF1qHP6yFkcuHnpK_GXXUyMsr,Avel,iOS,Mount Fairview,,,,,,TRUE,,Freeride Scout,High score,35674.0,Open Trick
2021-12-26 2:17:29,https://drive.google.com/open?id=1DoS8EJ5QTqcgj5W6Y7wxZKHjbsl8Cb9_,Mountain_Greg,Android,Mount Fairview,,,,,,TRUE,,Flutters,High score,6.37,Airtime
2021-12-26 2:18:47,https://drive.google.com/open?id=18r18YJ2YkkhOmc3H4CwfoyNIPoB9Fk_y,Mountain_Greg,Android,Mount Fairview,,,,,,FALSE,,The Timber Road Gap,High score,45.9,Single Drop
2021-12-29 6:40:27,https://drive.google.com/open?id=18HMs-8XDxhBUbeOAJLqp86rAxsMwYck0,Mountain_Greg,Android,Mount Fairview,,,,,,FALSE,,The Sidehit Road,High score,28289.0,Gated Trick
2021-12-29 6:41:18,https://drive.google.com/open?id=1IsWQcJHV-AklfAV0FgLqGjyrHxqSHKrq,Mountain_Greg,Android,Mount Fairview,,,,,,FALSE,,Booster Berries,High score,31773.0,Open Trick
2021-12-29 6:42:16,https://drive.google.com/open?id=1l11OeenZRKhUAfLS6CWFL4zHWCjfbMsl,Mountain_Greg,Android,Mount Fairview,,,,,,FALSE,,Ollies Invite Only,High score,40810.0,Gated Trick
2021-12-30 15:19:13,https://drive.google.com/open?id=1kIbgELiBR5n4tW430n6uX0q9vt9F_GHe,Avel,iOS,Mount Fairview,,,,,,TRUE,,Peregrine Falcon,Time Trial,17.93,Race
2021-12-31 6:35:06,https://drive.google.com/open?id=1SUd06yWtflXKM9XSSarTGRXF8L3zSs4-,Avel,iOS,Mount Fairview,,,,,,FALSE,,Shoot Out,High score,60.6,Single Drop
2022-01-06 3:51:59,https://drive.google.com/open?id=1UCaUvy6C64tFgedvsGxAmmmDWsV5ey5L,Mountain_Greg,Android,Mount Fairview,,,,,,TRUE,,Best Eagle Cookie Park,High score,24701.0,Gated Trick
2022-02-14 11:43:02,https://drive.google.com/open?id=1ZsanpmmJH1YN7MtPRupxjWJb3YYrFlgf,Jamiemac,Android,Mount Fairview,,,,,,FALSE,,Shoot Out,High score,63.4,Single Drop
2022-02-14 11:44:03,https://drive.google.com/open?id=1A8oSa7u6hE3J6AXKPNrFyRheBNJ8u2aa,Jamiemac,Android,Mount Fairview,,,,,,TRUE,,The Timber Road Gap,High score,49.9,Single Drop
2022-02-14 12:15:34,https://drive.google.com/open?id=1_rQ1HYJAyGQ9XS87zeTwsGpo4O8yDFGT,Jamiemac,Android,Mount Fairview,,,,,,FALSE,,The Three Diamonds,High score,140.3,Triple Drop
2022-02-15 6:28:47,https://drive.google.com/open?id=1cQqVBNix4mULDe6cUuxJegi92lnQBUgP,Jamiemac,Android,Mount Fairview,,,,,,FALSE,,Ollies Invite Only,High score,45799.0,Gated Trick
2022-02-15 8:07:32,https://drive.google.com/open?id=1SRS4lW6whDAd1zBMHwdDz3MQyuwVGjYD,Jamiemac,Android,Mount Fairview,,,,,,TRUE,,The Sidehit Road,High score,30634.0,Gated Trick
2022-02-15 19:03:11,https://drive.google.com/open?id=1EfX3j_1rzKDhDD6Z-Fkq5dlqb2QkwM9x,hschindele,iOS,Mount Fairview,,,,,,TRUE,,Peregrine Falcon,Time Trial,17.84,Race
2022-02-16 11:05:52,https://drive.google.com/open?id=1VT3qoxkypEbYm9z-0zl6myTlOPlobHLx,Jamiemac,Android,Mount Fairview,,,,,,TRUE,,Best Eagle Cookie Park,High score,25411.0,Gated Trick
2022-02-16 11:08:04,https://drive.google.com/open?id=1g-dswo-3LrrxBEY47Cu9jdh5l2t_bgbb,Jamiemac,Android,Mount Fairview,,,,,,TRUE,,Best Eagle Cookie Park,High score,27873.0,Gated Trick
2022-02-16 11:29:32,https://drive.google.com/open?id=1YobJbJvvCYdyoKU_smbDK66OkD8HE9SF,Jamiemac,Android,Mount Fairview,,,,,,TRUE,,Booster Berries,High score,37927.0,Open Trick
2022-02-16 11:46:48,https://drive.google.com/open?id=1aQFUxFffk3TRaNHkXRpRyd8dYZ3TCt0R,Jamiemac,Android,Mount Fairview,,,,,,TRUE,,Freeride Scout,High score,38147.0,Open Trick
