,Name,score
1,BouncyJello,34.58
2,Fenrir,36.42
3,Gjeep302,34.01
4,Jamiemac,33.4
5,Mountain_Greg,32.66
6,Pinsek,34.06
7,Ryan Monty,34.16
8,SYNO,34.66
9,Skier50,32.07
10,hschindele,30.71
11,massiv97,34.89
0,Avel,19.29
1,BouncyJello,19.74
2,Fenrir,20.78
3,Gjeep302,18.38
4,Jamiemac,18.53
5,Lars Schrier,19.91
6,Mountain_Greg,18.61
7,Pinsek,19.63
8,Ryan Monty,18.98
9,SYNO,18.6
10,Skier50,17.97
11,hschindele,17.91
12,massiv97,18.91
0,Avel,20.54
1,BouncyJello,20.9
2,Fenrir,21.37
3,Gjeep302,20.95
4,Jamiemac,20.64
5,LC43,21.19
6,Mountain_Greg,21.09
7,Pinsek,21.16
8,Ryan Monty,21.24
9,SYNO,21.1
10,Skier50,20.27
11,hschindele,20.15
12,massiv97,20.8
0,Avel,19.75
1,BouncyJello,19.59
2,Fenrir,20.38
3,Gjeep302,19.88
4,Jamiemac,19.07
5,Mountain_Greg,19.3
6,Pinsek,19.96
7,Ryan Monty,19.88
8,SYNO,19.77
9,Skier50,19.91
10,hschindele,18.82
11,massiv97,19.44
0,Mountain_Greg,20.04
1,Skier50,20.71
2,massiv97,21.25
0,Mountain_Greg,28.41
1,Skier50,28.41
2,hschindele,28.19
3,massiv97,28.48
0,Avel,13.77
1,Mountain_Greg,13.97
2,Skier50,13.76
3,hschindele,13.78
4,massiv97,13.97
0,Avel,10.18
1,BouncyJello,10.12
2,Fenrir,10.67
3,Gjeep302,10.47
4,Jamiemac,10.4
5,Mountain_Greg,10.22
6,Pinsek,10.4
7,Ryan Monty,10.48
8,SYNO,10.43
9,Skier50,9.37
10,hschindele,9.34
11,massiv97,9.85
0,Avel,23.98
1,BouncyJello,23.26
2,Fenrir,24.87
3,Gjeep302,23.35
4,James :),22.92
5,Jamiemac,22.86
6,Lars Schrier,27.83
7,Mountain_Greg,23.17
8,Pinsek,23.76
9,Ryan Monty,23.03
10,SYNO,23.71
11,Skier50,23.94
12,SwampfoxAK,25.98
13,hschindele,22.68
14,massiv97,23.73
0,Avel,31.11
1,BouncyJello,27.32
2,Fenrir,34.52
3,Jamiemac,24.8
4,Mountain_Greg,25.77
5,Pinsek,27.27
6,Ryan Monty,25.25
7,SYNO,27.97
8,Skier50,26.98
9,hschindele,25.24
10,massiv97,27.16
0,Avel,13.36
1,BouncyJello,13.92
2,Fenrir,15.43
3,Gjeep302,13.8
4,Jamiemac,13.11
5,LC43,14.23
6,Lars Schrier,15.59
7,Mountain_Greg,12.88
8,PelagusPlays,14.72
9,Pinsek,13.5
10,Ryan Monty,13.68
11,SYNO,13.89
12,Skier50,13.73
13,hschindele,12.75
14,massiv97,12.95
0,Avel,7.41
1,BouncyJello,6.98
2,Dylanlew2,7.84
3,Fenrir,8.41
4,Gjeep302,7.19
5,Jamiemac,7.16
6,Lars Schrier,8.03
7,Mountain_Greg,7.17
8,Pinsek,7.13
9,Ryan Monty,7.19
10,SYNO,7.19
11,Skier50,7.19
12,hschindele,6.94
13,magicshack,7.0
14,massiv97,7.19
0,Avel,17.36
1,Fenrir,18.86
2,Gjeep302,16.9
3,Jamiemac,15.79
4,Lars Schrier,17.66
5,Mountain_Greg,16.99
6,Pinsek,16.85
7,Ryan Monty,16.97
8,SYNO,16.97
9,Skier50,16.88
10,hschindele,14.57
11,massiv97,16.84
0,Fenrir,21.95
1,Gjeep302,15.9
2,Jamiemac,14.92
3,Lars Schrier,18.71
4,Mountain_Greg,15.65
5,Ryan Monty,15.92
6,SYNO,15.98
7,Skier50,15.86
8,hschindele,14.58
9,massiv97,15.74
0,Mountain_Greg,34.06
1,Skier50,33.67
2,massiv97,34.44
0,Avel,13.69
1,BouncyJello,12.86
2,Bramspr,15.23
3,Fenrir,16.62
4,Gjeep302,13.41
5,James :),12.54
6,Jamiemac,13.27
7,Mountain_Greg,13.3
8,Ryan Monty,13.44
9,SYNO,13.43
10,Skier50,13.48
11,hschindele,12.38
12,magicshack,13.24
13,massiv97,12.49
0,Avel,29.31
1,BouncyJello,15.87
2,Fenrir,35.38
3,James :),15.57
4,Jamiemac,15.56
5,Mountain_Greg,15.9
6,Ryan Monty,15.91
7,SYNO,15.98
8,Skier50,15.81
9,hschindele,14.87
10,magicshack,15.26
11,massiv97,15.84
0,Avel,24.88
1,Fenrir,25.86
2,Gjeep302,24.96
3,Jamiemac,24.55
4,Lars Schrier,27.13
5,Mountain_Greg,22.49
6,PelagusPlays,27.2
7,Ryan Monty,24.8
8,SYNO,23.03
9,Skier50,24.98
10,SwampfoxAK,27.22
11,hschindele,22.67
12,massiv97,23.29
0,Avel,50.45
1,Gjeep302,49.71
2,Jamiemac,47.45
3,Mountain_Greg,45.89
4,Ryan Monty,49.62
5,SYNO,48.3
6,Skier50,48.74
7,hschindele,46.92
8,massiv97,49.47
0,Avel,25.81
1,BouncyJello,23.97
2,Fenrir,25.92
3,Jamiemac,25.63
4,Mountain_Greg,24.22
5,Pinsek,25.9
6,Ryan Monty,25.7
7,SYNO,23.28
8,Skier50,25.83
9,hschindele,23.15
10,massiv97,25.69
0,Avel,20.43
1,Fenrir,21.47
2,Jamiemac,20.6
3,Mountain_Greg,20.84
4,Pinsek,20.92
5,Ryan Monty,20.81
6,SYNO,20.7
7,Shadow,20.58
8,Skier50,20.93
9,hschindele,20.31
10,massiv97,20.66
0,Avel,23.61
1,Fenrir,24.27
2,Jamiemac,23.58
3,Mountain_Greg,23.61
4,Ryan Monty,23.85
5,SYNO,23.77
6,Skier50,23.79
7,hschindele,23.21
8,massiv97,23.93
0,Fenrir,18.8
1,James :),16.72
2,Jamiemac,18.42
3,Mountain_Greg,18.2
4,Pinsek,18.62
5,Ryan Monty,18.68
6,SYNO,18.85
7,Skier50,18.96
8,hschindele,17.32
9,massiv97,18.24
0,Avel,24.97
1,BouncyJello,24.36
2,Fenrir,25.7
3,Jamiemac,23.62
4,Mountain_Greg,24.06
5,Pinsek,24.9
6,Ryan Monty,24.41
7,SYNO,24.93
8,Skier50,23.98
9,hschindele,23.42
10,massiv97,24.21
0,BouncyJello,19.39
1,Fenrir,24.07
2,Jamiemac,19.92
3,Mountain_Greg,19.84
4,Ryan Monty,20.57
5,SYNO,19.84
6,Skier50,21.66
7,hschindele,19.24
8,massiv97,20.51
0,Avel,33.49
1,Fenrir,35.03
2,Jamiemac,33.37
3,Mountain_Greg,34.2
4,Ryan Monty,33.86
5,SYNO,34.16
6,Skier50,34.45
7,hschindele,33.23
8,massiv97,34.28
0,Fenrir,7.14
1,Jamiemac,6.91
2,Mountain_Greg,6.98
3,Ryan Monty,6.98
4,SYNO,6.99
5,Skier50,6.96
6,hschindele,6.69
7,massiv97,6.95
0,Mountain_Greg,20.74
1,Skier50,19.96
2,hschindele,19.4
3,massiv97,20.38
0,Mountain_Greg,19.95
1,Skier50,20.71
2,hschindele,20.39
3,massiv97,20.96
0,Avel,6.8
1,Fenrir,8.77
2,Jamiemac,6.85
3,Mountain_Greg,7.04
4,Pinsek,7.07
5,Ryan Monty,6.96
6,SYNO,6.8
7,Shadow,6.79
8,Skier50,7.23
9,hschindele,6.53
10,massiv97,6.87
0,Avel,18.79
1,Fenrir,18.9
2,Jamiemac,18.5
3,Mountain_Greg,18.2
4,Ryan Monty,18.43
5,SYNO,18.8
6,Shadow,18.93
7,Skier50,18.96
8,hschindele,18.04
9,massiv97,18.64
0,Fenrir,14.19
1,James :),10.1
2,Jamiemac,10.41
3,Mountain_Greg,10.67
4,Ryan Monty,10.93
5,SYNO,10.81
6,Skier50,10.61
7,hschindele,9.96
8,massiv97,10.93
0,Fenrir,35.68
1,Jamiemac,33.51
2,Mountain_Greg,32.38
3,Ryan Monty,33.91
4,SYNO,32.39
5,Skier50,34.86
6,hschindele,31.82
7,massiv97,34.56
0,Avel,9.81
1,Fenrir,9.97
2,James :),9.84
3,Jamiemac,9.65
4,Mountain_Greg,9.92
5,Ryan Monty,9.96
6,SYNO,9.81
7,Skier50,9.99
8,hschindele,9.63
9,massiv97,9.9
0,Avel,20.77
1,Fenrir,23.73
2,Jamiemac,20.79
3,Mountain_Greg,20.48
4,Pinsek,20.34
5,Ryan Monty,21.21
6,SYNO,19.8
7,Skier50,21.83
8,hschindele,19.28
9,massiv97,21.9
0,Fenrir,38.19
1,James :),32.53
2,Jamiemac,31.66
3,Mountain_Greg,32.97
4,Ryan Monty,29.62
5,SYNO,33.03
6,Skier50,32.03
7,hschindele,29.74
8,massiv97,33.04
0,Fenrir,33.71
1,Jamiemac,26.3
2,Mountain_Greg,26.17
3,Ryan Monty,26.26
4,SYNO,28.8
5,Skier50,28.53
6,hschindele,25.2
7,massiv97,28.99
0,Avel,23.53
1,BouncyJello,24.15
2,Fenrir,36.06
3,Jamiemac,24.21
4,Mountain_Greg,23.57
5,Ryan Monty,24.81
6,SYNO,24.36
7,Skier50,24.36
8,hschindele,23.53
9,massiv97,24.2
0,BouncyJello,30.78
1,Fenrir,44.62
2,Jamiemac,29.64
3,Mountain_Greg,29.73
4,Ryan Monty,29.33
5,SYNO,30.69
6,Skier50,30.36
7,hschindele,29.22
8,massiv97,30.53
0,BouncyJello,39.75
1,Fenrir,48.55
2,Jamiemac,40.16
3,Mountain_Greg,40.0
4,Ryan Monty,44.01
5,SYNO,43.56
6,Skier50,43.71
7,hschindele,39.62
8,massiv97,45.95
0,Fenrir,59.2
1,Jamiemac,54.03
2,Mountain_Greg,53.28
3,Ryan Monty,52.83
4,SYNO,54.62
5,Skier50,54.31
6,hschindele,52.88
7,massiv97,55.4
0,Avel,17.96
1,BouncyJello,17.74
2,Gjeep302,18.2
3,Gucci Garrett,18.06
4,James :),18.12
5,Jamiemac,18.07
6,Mountain_Greg,18.18
7,Ryan Monty,18.2
8,SYNO,18.15
9,Skier50,17.83
10,hschindele,18.09
11,massiv97,18.24
0,Avel,32.43
1,Gjeep302,31.56
2,Jamiemac,31.71
3,Mountain_Greg,32.49
4,Ryan Monty,32.35
5,SYNO,32.23
6,Skier50,32.35
7,hschindele,31.26
8,massiv97,32.37
0,Avel,59.82
1,Jamiemac,59.92
2,Mountain_Greg,59.86
3,Ryan Monty,59.97
4,SYNO,59.93
5,Skier50,59.97
6,eccentricmonkey146,59.59
7,hschindele,59.19
8,massiv97,59.86
0,Jamiemac,25.9
1,Mountain_Greg,25.99
2,Ryan Monty,25.62
3,SYNO,25.96
4,Skier50,25.88
5,hschindele,25.11
6,massiv97,25.54
0,Gjeep302,18.21
1,Jamiemac,18.33
2,Mountain_Greg,18.35
3,Ryan Monty,18.29
4,SYNO,18.2
5,Skier50,18.42
6,hschindele,18.14
7,massiv97,18.47
0,Avel,23.86
1,Jamiemac,23.7
2,Mountain_Greg,23.09
3,Ryan Monty,23.72
4,SYNO,23.66
5,Skier50,23.71
6,hschindele,22.85
7,massiv97,23.98
0,Jamiemac,15.33
1,Mountain_Greg,15.37
2,Ryan Monty,15.39
3,SYNO,15.34
4,Skier50,15.36
5,hschindele,15.31
6,massiv97,15.39
0,Fenrir,43.1
1,Jamiemac,42.23
2,Mountain_Greg,42.29
3,Ryan Monty,41.94
4,SYNO,41.32
5,Skier50,42.28
6,hschindele,40.96
7,massiv97,42.19
0,Jamiemac,49.95
1,Mountain_Greg,49.97
2,Ryan Monty,49.86
3,SYNO,49.85
4,Skier50,48.46
5,hschindele,47.04
6,massiv97,49.96
0,Avel,58.05
1,Jamiemac,56.3
2,Mountain_Greg,56.8
3,Ryan Monty,58.8
4,SYNO,57.43
5,Skier50,57.57
6,hschindele,55.55
7,massiv97,58.89
0,Fenrir,43.98
1,Jamiemac,38.79
2,Mountain_Greg,38.13
3,Ryan Monty,41.66
4,SYNO,41.36
5,Skier50,40.68
6,hschindele,37.81
7,massiv97,41.8
0,BouncyJello,37.96
1,Gjeep302,44.85
2,Jamiemac,39.35
3,Mountain_Greg,39.32
4,Ryan Monty,39.79
5,SYNO,40.61
6,Skier50,40.75
7,hschindele,38.21
8,massiv97,40.51
0,Jamiemac,15.53
1,Mountain_Greg,15.67
2,Ryan Monty,15.62
3,Skier50,15.68
4,hschindele,15.5
5,massiv97,15.67
0,GrandMk,28.01
1,Jamiemac,27.85
2,Mountain_Greg,28.25
3,Pinsek,29.85
4,Ryan Monty,28.19
5,Skier50,29.53
6,hschindele,27.82
7,massiv97,29.5
0,Avel,22.58
1,Jamiemac,20.99
2,Mountain_Greg,21.27
3,Ryan Monty,22.7
4,Skier50,22.19
5,hschindele,20.61
6,massiv97,22.42
0,Avel,22.61
1,Jamiemac,21.24
2,Mountain_Greg,21.75
3,Ryan Monty,21.94
4,Skier50,22.95
5,hschindele,21.21
6,massiv97,22.59
0,Avel,21.32
1,Jamiemac,20.25
2,Mountain_Greg,20.79
3,Ryan Monty,20.96
4,Skier50,21.39
5,hschindele,20.62
6,massiv97,21.34
0,Avel,20.53
1,Jamiemac,19.71
2,Mountain_Greg,20.0
3,Ryan Monty,21.34
4,Skier50,20.81
5,hschindele,19.44
6,massiv97,21.08
0,Avel,19.89
1,Jamiemac,19.18
2,Mountain_Greg,19.81
3,Ryan Monty,19.96
4,Skier50,19.93
5,hschindele,19.14
6,massiv97,19.86
0,Avel,16.97
1,Jamiemac,16.19
2,Mountain_Greg,16.89
3,Ryan Monty,16.88
4,Skier50,16.96
5,hschindele,16.46
6,massiv97,16.86
7,waxton,16.61
0,Avel,18.18
1,Jamiemac,17.8
2,Mountain_Greg,18.16
3,Ryan Monty,18.16
4,Skier50,18.05
5,hschindele,17.81
6,massiv97,18.17
0,Jamiemac,21.87
1,Mountain_Greg,22.1
2,Ryan Monty,22.46
3,Skier50,22.33
4,hschindele,21.83
5,massiv97,22.46
0,Jamiemac,38.15
1,Mountain_Greg,38.28
2,Ryan Monty,38.34
3,Skier50,38.82
4,hschindele,37.97
5,massiv97,38.9
0,Mountain_Greg,33.95
1,Skier50,32.94
2,hschindele,32.91
3,massiv97,33.82
0,Jamiemac,18.36
1,Mountain_Greg,18.84
2,Ryan Monty,18.69
3,Skier50,18.56
4,hschindele,18.29
5,massiv97,18.85
0,Jamiemac,11.37
1,Mountain_Greg,11.57
2,Ryan Monty,11.9
3,Skier50,11.88
4,hschindele,11.33
5,massiv97,11.97
0,Fenrir,20.59
1,Jamiemac,17.73
2,Mountain_Greg,17.98
3,Ryan Monty,18.84
4,Skier50,18.71
5,hschindele,17.64
6,massiv97,18.94
0,Jamiemac,5.54
1,Mountain_Greg,5.79
2,Ryan Monty,5.93
3,Skier50,5.9
4,hschindele,5.51
5,massiv97,5.84
0,Jamiemac,7.75
1,Mountain_Greg,7.83
2,Ryan Monty,7.91
3,Skier50,7.75
4,hschindele,7.56
5,massiv97,7.66
0,Jamiemac,5.09
1,Mountain_Greg,5.14
2,Ryan Monty,5.66
3,Skier50,5.91
4,hschindele,5.07
5,massiv97,5.2
0,James :),8.54
1,Jamiemac,8.6
2,Mountain_Greg,8.62
3,Ryan Monty,8.93
4,Skier50,8.8
5,hschindele,8.51
6,massiv97,8.68
0,Jamiemac,9.22
1,Mountain_Greg,9.27
2,Ryan Monty,9.58
3,Skier50,9.45
4,hschindele,9.21
5,massiv97,9.73
0,Jamiemac,10.92
1,Mountain_Greg,11.32
2,Ryan Monty,11.48
3,Skier50,11.15
4,hschindele,10.91
5,massiv97,11.65
0,Fenrir,13.41
1,Jamiemac,9.69
2,Mountain_Greg,9.84
3,Ryan Monty,9.97
4,Skier50,9.85
5,hschindele,9.73
6,massiv97,9.96
0,Jamiemac,64.45
1,Mountain_Greg,62.61
2,Ryan Monty,67.92
3,Skier50,64.26
4,hschindele,64.71
5,massiv97,67.77
0,Jamiemac,51.9
1,Mountain_Greg,48.98
2,Ryan Monty,52.24
3,Skier50,52.22
4,hschindele,51.42
5,massiv97,52.09
0,Avel,45.2
1,BouncyJello,75.2
2,Bramspr,35.0
3,Fenrir,48.6
4,Gjeep302,69.1
5,Jamiemac,62.1
6,Lars Schrier,44.0
7,Mountain_Greg,57.8
8,PelagusPlays,35.5
9,SYNO,50.0
10,Skier50,51.3
11,eFrostyy,50.1
12,hschindele,64.6
13,massiv97,55.8
0,Avel,18871.0
1,BouncyJello,18297.0
2,Fenrir,23512.0
3,Gjeep302,8242.0
4,Jamiemac,24042.0
5,Mountain_Greg,18712.0
6,PelagusPlays,7065.0
7,SYNO,27785.0
8,Skier50,34703.0
9,eFrostyy,15719.0
10,massiv97,18074.0
0,Avel,19446.0
1,BouncyJello,31192.0
2,Chesty,12798.0
3,Fenrir,27527.0
4,Gjeep302,21472.0
5,Jamiemac,31980.0
6,Mountain_Greg,32250.0
7,SYNO,42668.0
8,Skier50,54149.0
9,eFrostyy,13457.0
10,massiv97,29891.0
0,BouncyJello,71.2
1,Bramspr,61.2
2,Dylanlew2,56.0
3,Fenrir,53.5
4,Gjeep302,55.1
5,Jamiemac,66.0
6,Mountain_Greg,57.8
7,SYNO,62.4
8,Skier50,55.1
9,eFrostyy,55.7
10,hschindele,64.2
11,massiv97,58.0
0,Avel,90.5
1,BouncyJello,110.1
2,Bramspr,84.0
3,Fenrir,101.3
4,Gjeep302,101.1
5,Jamiemac,101.9
6,Lars Schrier,86.0
7,Mountain_Greg,91.8
8,SYNO,92.5
9,Shadow,101.3
10,Skier50,94.7
11,eFrostyy,92.7
12,hschindele,97.3
13,massiv97,92.4
0,BouncyJello,382.7
1,Bramspr,307.0
2,Dylanlew2,355.0
3,Fenrir,351.8
4,Gjeep302,354.2
5,Jamiemac,374.9
6,Mountain_Greg,372.7
7,SYNO,356.8
8,Skier50,352.1
9,eFrostyy,304.7
10,hschindele,373.6
11,massiv97,352.7
0,BouncyJello,16.0
1,Fenrir,6.0
2,Gjeep302,14.0
3,Jamiemac,15.0
4,Lars Schrier,15.0
5,Mountain_Greg,13.0
6,Ryan Monty,14.0
7,SYNO,15.0
8,Skier50,13.0
9,hschindele,14.0
10,massiv97,14.0
0,BouncyJello,72.0
1,Bramspr,53.7
2,Dylanlew2,46.0
3,Fenrir,56.4
4,Gjeep302,65.6
5,Jamiemac,67.8
6,Lars Schrier,56.4
7,Mountain_Greg,64.9
8,SYNO,61.5
9,Shadow,71.0
10,Skier50,61.3
11,hschindele,64.5
12,massiv97,63.4
0,BouncyJello,54.2
1,Bramspr,36.0
2,Dylanlew2,40.0
3,Fenrir,41.4
4,Gjeep302,60.7
5,Jamiemac,55.0
6,Mountain_Greg,51.7
7,SYNO,54.8
8,Shadow,68.4
9,Skier50,51.9
10,hschindele,55.7
11,massiv97,50.7
0,BouncyJello,25.0
1,Bramspr,16.0
2,Fenrir,17.0
3,Gjeep302,24.0
4,Jamiemac,25.0
5,Lars Schrier,31.0
6,Mountain_Greg,27.0
7,SYNO,25.0
8,Skier50,26.0
9,hschindele,28.0
10,massiv97,25.0
0,BouncyJello,33238.0
1,Fenrir,32308.0
2,Gjeep302,14336.0
3,Jamiemac,32899.0
4,Mountain_Greg,33067.0
5,SYNO,46719.0
6,Skier50,52510.0
7,massiv97,32216.0
0,Avel,90831.0
1,BouncyJello,33734.0
2,Fenrir,26585.0
3,Gjeep302,10368.0
4,Jamiemac,30133.0
5,Mountain_Greg,35127.0
6,SYNO,50155.0
7,Shadow,24211.0
8,Skier50,100887.0
9,massiv97,32160.0
0,Skier50,31551.0
0,Skier50,28591.0
0,BouncyJello,130.0
1,Bramspr,98.0
2,Fenrir,103.8
3,Gjeep302,119.5
4,Jamiemac,120.7
5,Mountain_Greg,106.0
6,SYNO,108.8
7,Shadow,116.3
8,Skier50,105.2
9,hschindele,119.1
10,massiv97,110.8
0,BouncyJello,306.6
1,Bramspr,243.4
2,Fenrir,247.5
3,Gjeep302,289.7
4,Jamiemac,296.8
5,Mountain_Greg,286.9
6,SYNO,296.7
7,Skier50,284.2
8,hschindele,293.2
9,massiv97,292.0
0,Avel,10232.0
1,BouncyJello,16747.0
2,Fenrir,11111.0
3,Jamiemac,11733.0
4,Mountain_Greg,10792.0
5,SYNO,13389.0
6,Shadow,11166.0
7,Skier50,18631.0
8,hschindele,12093.0
9,massiv97,11584.0
0,Skier50,18298.0
0,BouncyJello,45.7
1,Bramspr,42.0
2,DeathSpawned,45.2
3,Fenrir,43.9
4,Gjeep302,48.3
5,Jamiemac,49.5
6,Mountain_Greg,42.1
7,SYNO,42.2
8,Skier50,42.1
9,hschindele,56.3
10,massiv97,66.5
0,Avel,42653.0
1,BouncyJello,33813.0
2,Fenrir,12781.0
3,Jamiemac,30646.0
4,Mountain_Greg,34416.0
5,SYNO,45024.0
6,Skier50,59896.0
7,massiv97,31038.0
0,BouncyJello,7.2
1,Bramspr,5.0
2,Fenrir,5.16
3,Gjeep302,6.35
4,Jamiemac,6.38
5,Mountain_Greg,6.36
6,SYNO,6.3
7,Skier50,6.38
8,hschindele,7.0
9,massiv97,6.28
0,Avel,16865.0
1,BouncyJello,24975.0
2,Fenrir,15242.0
3,Gjeep302,11669.0
4,Jamiemac,24471.0
5,Mountain_Greg,25342.0
6,SYNO,30652.0
7,Skier50,32882.0
8,massiv97,24497.0
0,BouncyJello,30008.0
1,Fenrir,26309.0
2,Gjeep302,14623.0
3,Jamiemac,32397.0
4,Mountain_Greg,30525.0
5,SYNO,49492.0
6,Skier50,53932.0
7,massiv97,32173.0
0,BouncyJello,127.1
1,Bramspr,90.0
2,DeathSpawned,113.1
3,Fenrir,91.8
4,Gjeep302,107.7
5,Jamiemac,121.3
6,Mountain_Greg,106.3
7,SYNO,105.7
8,Skier50,120.1
9,hschindele,108.7
10,massiv97,105.9
0,BouncyJello,406.2
1,Chesty,310.0
2,Fenrir,312.5
3,James :),339.8
4,Jamiemac,345.2
5,Mountain_Greg,341.6
6,SYNO,340.4
7,Skier50,341.2
8,hschindele,358.1
9,massiv97,345.7
0,BouncyJello,23600.0
1,Fenrir,18446.0
2,Gjeep302,13449.0
3,Jamiemac,29343.0
4,Mountain_Greg,24643.0
5,SYNO,33224.0
6,Skier50,43459.0
7,massiv97,27092.0
0,Antaris,14734.0
1,BouncyJello,27827.0
2,Fenrir,15101.0
3,Gjeep302,13625.0
4,Jamiemac,29333.0
5,Mountain_Greg,29647.0
6,SYNO,35480.0
7,Skier50,42197.0
8,massiv97,27075.0
0,BouncyJello,20.0
1,Fenrir,10.0
2,Jamiemac,16.0
3,Lars Schrier,17.0
4,Mountain_Greg,17.0
5,SYNO,16.0
6,Skier50,16.0
7,hschindele,16.0
8,massiv97,16.0
0,BouncyJello,9.2
1,Fenrir,9.11
2,Jamiemac,8.85
3,Lars Schrier,8.26
4,Mountain_Greg,8.75
5,SYNO,8.96
6,Skier50,8.53
7,hschindele,8.9
8,massiv97,8.52
0,Avel,22142.0
1,BouncyJello,20624.0
2,Bramspr,8789.0
3,Fenrir,11545.0
4,Gjeep302,8753.0
5,Jamiemac,22924.0
6,Mountain_Greg,19061.0
7,SYNO,25673.0
8,Skier50,55346.0
9,massiv97,15561.0
0,BouncyJello,20950.0
1,Fenrir,11855.0
2,Gjeep302,9130.0
3,Jamiemac,24996.0
4,Mountain_Greg,16710.0
5,SYNO,23729.0
6,Skier50,32019.0
7,massiv97,18433.0
0,Avel,6.78
1,BouncyJello,5.85
2,Bramspr,5.96
3,Fenrir,6.03
4,Gjeep302,6.39
5,Jamiemac,6.93
6,Mountain_Greg,6.8
7,Ryan Monty,6.63
8,SYNO,7.38
9,Skier50,6.76
10,hschindele,6.64
11,massiv97,7.11
0,Fenrir,9549.0
1,Gjeep302,8700.0
2,Jamiemac,14532.0
3,Mountain_Greg,12369.0
4,SYNO,19336.0
5,Skier50,19510.0
6,hschindele,11047.0
7,massiv97,15167.0
0,Avel,30851.0
1,DeathSpawned,50623.0
2,Fenrir,18412.0
3,Gjeep302,18150.0
4,Jamiemac,34997.0
5,Mountain_Greg,30034.0
6,SYNO,39407.0
7,Skier50,51986.0
8,massiv97,31868.0
0,Fenrir,10764.0
1,Gjeep302,7637.0
2,Jamiemac,17435.0
3,Mountain_Greg,15020.0
4,SYNO,22465.0
5,Skier50,26267.0
6,massiv97,15311.0
0,DeathSpawned,91.2
1,Fenrir,83.7
2,Gjeep302,95.0
3,Jamiemac,97.3
4,Mountain_Greg,92.0
5,Skier50,91.9
6,SwampfoxAK,86.0
7,hschindele,90.3
8,massiv97,90.6
0,Avel,387.5
1,BouncyJello,388.5
2,Fenrir,326.5
3,Gjeep302,362.0
4,Jamiemac,375.1
5,Lars Schrier,318.1
6,Mountain_Greg,375.2
7,Ryan Monty,382.6
8,Skier50,391.4
9,SwampfoxAK,345.4
10,hschindele,391.8
11,massiv97,374.2
0,Fenrir,17229.0
1,James :),18102.0
2,Jamiemac,28095.0
3,Mountain_Greg,31865.0
4,SYNO,34539.0
5,Skier50,43089.0
6,massiv97,30297.0
0,DeathSpawned,89.7
1,Jamiemac,89.0
2,Mountain_Greg,82.5
3,PelagusPlays,81.4
4,Skier50,82.5
5,hschindele,89.4
6,magicshack,79.5
7,massiv97,82.5
0,Avel,9.12
1,Bramspr,6.0
2,Bringstmanuoane,8.0
3,Dylanlew2,8.88
4,Jamiemac,8.9
5,Mountain_Greg,8.03
6,Ryan Monty,8.73
7,SYNO,10.43
8,Skier50,8.4
9,massiv97,8.69
0,Avel,16052.0
1,Fenrir,16925.0
2,James :),32123.0
3,Jamiemac,33981.0
4,Mountain_Greg,33112.0
5,SYNO,40497.0
6,Skier50,43101.0
7,massiv97,33243.0
0,James :),20641.0
1,Jamiemac,20961.0
2,Mountain_Greg,22708.0
3,SYNO,30001.0
4,Skier50,31637.0
5,massiv97,20121.0
0,Skier50,34019.0
0,Bramspr,126.0
1,DeathSpawned,150.6
2,Gjeep302,151.1
3,Jamiemac,154.8
4,Lars Schrier,127.0
5,Mountain_Greg,152.4
6,PelagusPlays,130.0
7,SYNO,156.6
8,Skier50,155.1
9,hschindele,144.6
10,massiv97,152.5
0,Bramspr,225.0
1,DeathSpawned,242.1
2,Jamiemac,228.3
3,SYNO,221.1
4,Skier50,220.4
5,magicshack,195.6
6,massiv97,243.8
0,BouncyJello,290.1
1,DeathSpawned,277.2
2,Gjeep302,283.6
3,Jamiemac,287.5
4,Mountain_Greg,288.6
5,Skier50,280.6
6,hschindele,276.8
7,massiv97,283.5
0,Avel,15854.0
1,James :),33076.0
2,Jamiemac,36787.0
3,Mountain_Greg,33412.0
4,SYNO,40911.0
5,Skier50,41729.0
6,massiv97,32077.0
0,Avel,18586.0
1,Jamiemac,42301.0
2,Mountain_Greg,38819.0
3,SYNO,54358.0
4,Skier50,56261.0
5,massiv97,38449.0
0,Avel,41459.0
1,Jamiemac,43009.0
2,Mountain_Greg,30351.0
3,SYNO,37949.0
4,Skier50,45783.0
5,massiv97,39169.0
0,Avel,21642.0
1,James :),18060.0
2,Jamiemac,20044.0
3,Mountain_Greg,18490.0
4,SYNO,19719.0
5,Skier50,22209.0
6,massiv97,19713.0
0,James :),25188.0
1,Jamiemac,30149.0
2,Mountain_Greg,28685.0
3,SYNO,36877.0
4,Skier50,50239.0
5,massiv97,32159.0
0,Skier50,30577.0
0,Jamiemac,80.9
1,Skier50,98.8
0,BouncyJello,307.7
1,Gjeep302,278.8
2,Jamiemac,293.9
3,Mountain_Greg,298.3
4,Ryan Monty,305.4
5,SYNO,279.3
6,Skier50,290.8
7,massiv97,294.7
0,James :),20535.0
1,Jamiemac,21962.0
2,Mountain_Greg,24308.0
3,SYNO,30196.0
4,Skier50,30700.0
5,massiv97,22581.0
0,Jamiemac,33578.0
1,Mountain_Greg,31078.0
2,SYNO,31252.0
3,Shadow,16355.0
4,Skier50,40868.0
5,massiv97,28845.0
0,James :),23821.0
1,Jamiemac,35384.0
2,Mountain_Greg,30839.0
3,SYNO,40152.0
4,Skier50,40619.0
