,index,Timestamp,Verified?,Link,Name,OS,Mountain,Was WR,Unnamed: 64,challenge name,type,score,chaltype
24,2763,2021-06-15 17:31:30,Yes,https://drive.google.com/open?id=1bOJu19yRWvehmvEYYCKYwXBtEjM4GpP3,hschindele,iOS,Waldtal,True,Race,Selme Narrows,Time trial,36.64,Race
25,181,2020-11-24 15:07:16,Yes,https://drive.google.com/open?id=1blKbFhm9fyBM3DZWfTurcqMLZ0vQBBzt,hschindele,iOS,Waldtal,True,Trail,The Big Kicker,Time trial,17.54,Trail
26,331,2021-01-03 9:05:09,Yes,https://drive.google.com/open?id=1vCa_RpKziC4idazbcLvBW0scR-2ZaiUl,hschindele,iOS,Waldtal,True,Trail,The Three Trees,Time trial,10.61,Trail
27,1841,2021-03-11 15:00:01,Yes,https://drive.google.com/open?id=1_Eshk9gIiqh_nt9zv5CMUMvfA0ZK2k_-,hschindele,iOS,Waldtal,True,Trail,A Balancing Act,Time trial,23.88,Trail
28,334,2021-01-03 10:28:12,Yes,https://drive.google.com/open?id=1EWoE-8nshdza-KBtWJF1RotAY3JQGB1r,hschindele,iOS,Waldtal,True,Trail,Over The Pist,Time trial,8.51,Trail
29,2794,2021-06-21 9:33:46,Yes,https://drive.google.com/open?id=1FazupHztZMD6C2PbwGmXP62PVvkWWla1,hschindele,iOS,Waldtal,True,Race,The Swing Passage,Time trial,17.81,Race
30,1299,2021-02-18 19:38:33,Yes,https://drive.google.com/open?id=1BKEEp1vFLtSMvqaUUNIaG7KZnp4Lmcx6,BouncyJello,Android,Waldtal,True,Distance,The Fork,High score,382.7,Distance
31,3254,9/20/2021 13:50:57,Yes,https://drive.google.com/open?id=1ywOhjJ-ldkv6EbIo3ckLdZTgKTMCW_TO,Avel,iOS,Waldtal,True,,Waldhorn Slopestyle,High score,45993.0,Gated Trick
32,3255,9/20/2021 13:53:10,Yes,https://drive.google.com/open?id=1O7GfEbU2ykZqHhu1_BvOZKLi1Y5wr3-u,Avel,iOS,Waldtal,True,,The Waldhorn Falls,High score,130.0,Triple Drop
33,390,2021-01-04 17:34:55,Yes,https://drive.google.com/open?id=1OPjfQVQ48I3-GKSVSxU8OI5JMJsldl5T,hschindele,iOS,Elnakka,True,Race,The Perfect Turns,Time trial,13.64,Race
34,229,2020-12-20 12:02:01,Yes,https://drive.google.com/open?id=13yvrpeyz88yB_KrahN04crgSmZvGCtGR,hschindele,iOS,Elnakka,True,Race,The Path Finder,Time trial,33.58,Race
